Iteration	Total_Loss	fm1_Loss	fm2_Loss	Lambda_hyp_1	Lambda_hyp_2	('sensor 2', 1)_alpha	('sensor 2', 1)_xi	('sensor 2', 1)_sigma	('sensor 2', 2)_alpha	('sensor 2', 2)_xi	('sensor 2', 2)_sigma
1100.0	6029595.0	2858077.5	3171517.25	0.8933990597724915	0.23459158837795258	1.913480520248413	1.7606372833251953	0.012912335805594921	1.2155739068984985	1.6758854389190674	0.005957115441560745
1200.0	5789917.0	2740769.5	3049147.5	0.8923683166503906	0.24548709392547607	1.9199258089065552	1.7557778358459473	0.013494470156729221	1.2239928245544434	1.675816535949707	0.005964679643511772
1300.0	5574439.0	2634384.0	2940055.0	0.8913202285766602	0.25587621331214905	1.9267178773880005	1.7507045269012451	0.014068343676626682	1.2326202392578125	1.6757450103759766	0.005972753744572401
1400.0	5379260.0	2537233.0	2842026.75	0.8902512788772583	0.2657865881919861	1.933860421180725	1.745408296585083	0.014635063707828522	1.241459846496582	1.675673484802246	0.00598134845495224
1500.0	5201339.5	2448012.25	2753327.25	0.889159083366394	0.27523836493492126	1.9413559436798096	1.739885926246643	0.015195654705166817	1.2505165338516235	1.6756019592285156	0.0059904796071350574
1600.0	5038276.0	2365707.5	2672568.25	0.8880399465560913	0.28424590826034546	1.9492090940475464	1.7341316938400269	0.015751047059893608	1.2597954273223877	1.675520658493042	0.006000163499265909
1700.0	4888051.0	2289428.75	2598622.0	0.8868907690048218	0.29281848669052124	1.9574254751205444	1.7281389236450195	0.016302090138196945	1.269302487373352	1.6754372119903564	0.006010415963828564
1800.0	4748845.0	2218287.0	2530558.0	0.8857077956199646	0.30096200108528137	1.9660100936889648	1.7218983173370361	0.01684955693781376	1.2790435552597046	1.675353765487671	0.006021257024258375
1900.0	4619403.0	2151816.5	2467586.25	0.884486973285675	0.3086792826652527	1.9749692678451538	1.7154006958007812	0.017394158989191055	1.289025902748108	1.6752662658691406	0.006032703910022974
2000.0	4498493.5	2089457.625	2409035.75	0.8832244277000427	0.3159712851047516	1.984308123588562	1.708638072013855	0.01793655753135681	1.299255609512329	1.6751708984375	0.006044778041541576
2100.0	4385104.0	2030775.25	2354328.75	0.8819153904914856	0.3228377401828766	1.994033932685852	1.7015994787216187	0.018477344885468483	1.309739589691162	1.6750755310058594	0.0060574971139431
2200.0	4278286.5	1975325.0	2302961.5	0.8805549144744873	0.3292778432369232	2.0041537284851074	1.6942719221115112	0.019017066806554794	1.3204838037490845	1.6749768257141113	0.0060708848759531975
2300.0	4177194.25	1922714.5	2254479.75	0.8791376352310181	0.3352912664413452	2.014674425125122	1.6866469383239746	0.019556235522031784	1.3314951658248901	1.6748695373535156	0.006084962282329798
2400.0	4081356.75	1872865.5	2208491.25	0.8776574730873108	0.3408786356449127	2.025603771209717	1.6787141561508179	0.020095333456993103	1.3427793979644775	1.67476224899292	0.006099750753492117
2500.0	3989925.75	1825283.5	2164642.25	0.8761075139045715	0.34604236483573914	2.0369503498077393	1.6704556941986084	0.020634813234210014	1.3543423414230347	1.6746482849121094	0.006115274038165808
2600.0	3902612.5	1779992.375	2122620.0	0.8744803071022034	0.3507869839668274	2.0487220287323	1.6618608236312866	0.02117508463561535	1.3661893606185913	1.6745290756225586	0.006131553091108799
2700.0	3818780.5	1736630.75	2082149.625	0.8727670907974243	0.3551197052001953	2.0609283447265625	1.6529128551483154	0.021716520190238953	1.3783248662948608	1.6744087934494019	0.006148613523691893
2800.0	3738023.75	1695033.875	2042989.875	0.8709582090377808	0.3590504825115204	2.0735812187194824	1.6435925960540771	0.02225947193801403	1.390753149986267	1.674277663230896	0.006166478153318167
2900.0	3660092.5	1655156.875	2004935.75	0.8690422773361206	0.3625923991203308	2.0866892337799072	1.6338804960250854	0.022804271429777145	1.403478741645813	1.6741465330123901	0.006185169797390699
3000.0	3584547.5	1616732.75	1967814.75	0.8670063018798828	0.36576130986213684	2.100267171859741	1.6237562894821167	0.023351222276687622	1.4165023565292358	1.6740055084228516	0.0062047140672802925
3100.0	3511230.25	1579748.25	1931482.0	0.8648350834846497	0.368575781583786	2.1143269538879395	1.6131962537765503	0.023900602012872696	1.4298269748687744	1.6738624572753906	0.006225135177373886
3200.0	3439820.0	1543999.375	1895820.75	0.8625108599662781	0.3710566461086273	2.1288840770721436	1.6021724939346313	0.024452658370137215	1.443454623222351	1.673710584640503	0.00624645734205842
